"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"TP_SIGNAL_NAME";"VENDOR";
"3.3V";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5V";"";"3,17/1,3";"3,17/1,3";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"B1";"";"BT-BLE-2479";"BT-BLE-2479";"Adafruit bluetooth BLE module for mounting onto PCB.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"2.2uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C2";"0.1uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C3";"2.2uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C4";"10nF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C5";"10nF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C6";"0.1uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C7";"0.1uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C8";"2.2uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C9";"0.1uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C10";"0.1uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C11";"2.2uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C12";"100uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"D1";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"";"";"2.2mm";"ON Semiconductor";"MRA4004T3G";"";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"";"";"";"";"";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";"";"";
"D2";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"";"";"2.2mm";"ON Semiconductor";"MRA4004T3G";"";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"";"";"";"";"";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";"";"";
"D3";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"";"";"2.2mm";"ON Semiconductor";"MRA4004T3G";"";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"";"";"";"";"";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";"";"";
"D4";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"";"";"2.2mm";"ON Semiconductor";"MRA4004T3G";"";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"";"";"";"";"";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";"";"";
"FB1";"BLM15HB121SN1";"BLM15HB121SN1";"0402";"EMIFIL (R) Chip Ferrite Bead for GHz Noise";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FB2";"BLM15HB121SN1";"BLM15HB121SN1";"0402";"EMIFIL (R) Chip Ferrite Bead for GHz Noise";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FB3";"BLM15HB121SN1";"BLM15HB121SN1";"0402";"EMIFIL (R) Chip Ferrite Bead for GHz Noise";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GND";"";"3,17/1,3";"3,17/1,3";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"MK66FX1M0VLQ18";"MK66FX1M0VLQ18";"QFP50P2200X2200X160-144N";"NXP - MK66FX1M0VLQ18 - MPU, ARM CORTEX-M4F, 180MHZ, LQFP-144";"";"";"NXP - MK66FX1M0VLQ18 - MPU, ARM CORTEX-M4F, 180MHZ, LQFP-144";"";"";"1.6mm";"Nexperia";"MK66FX1M0VLQ18";"";"841-MK66FX1M0VLQ18";"https://www.mouser.com/Search/Refine.aspx?Keyword=841-MK66FX1M0VLQ18";"";"";"";"";"";"";"";"";"";"";
"IC2";"MKL04Z32VLC4R";"MKL04Z32VLC4R";"QFP80P900X900X160-32N";"IC MCU 32BIT 32KB FLASH 32LQFP";"";"";"IC MCU 32BIT 32KB FLASH 32LQFP";"";"";"1.6mm";"Nexperia";"MKL04Z32VLC4R";"";"N/A";"https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA";"";"";"";"";"";"";"";"";"";"";
"J1";"52271-1079";"52271-1079";"52271-1079";"1.0MM FPC  R/A CONN 10 W Molex FFC/FPC SMT Series 1mm Pitch 10 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"70373119";"https://www.alliedelec.com/molex-incorporated-52271-1079/70373119/";"1.0MM FPC  R/A CONN 10 W Molex FFC/FPC SMT Series 1mm Pitch 10 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"";"";"mm";"Molex";"52271-1079";"";"538-52271-1079";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-52271-1079";"";"";"";"";"";"5144329P";"http://uk.rs-online.com/web/p/products/5144329P";"";"";"";
"J2";"52271-1079";"52271-1079";"52271-1079";"1.0MM FPC  R/A CONN 10 W Molex FFC/FPC SMT Series 1mm Pitch 10 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"70373119";"https://www.alliedelec.com/molex-incorporated-52271-1079/70373119/";"1.0MM FPC  R/A CONN 10 W Molex FFC/FPC SMT Series 1mm Pitch 10 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"";"";"mm";"Molex";"52271-1079";"";"538-52271-1079";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-52271-1079";"";"";"";"";"";"5144329P";"http://uk.rs-online.com/web/p/products/5144329P";"";"";"";
"J3";"52271-1079";"52271-1079";"52271-1079";"1.0MM FPC  R/A CONN 10 W Molex FFC/FPC SMT Series 1mm Pitch 10 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"70373119";"https://www.alliedelec.com/molex-incorporated-52271-1079/70373119/";"1.0MM FPC  R/A CONN 10 W Molex FFC/FPC SMT Series 1mm Pitch 10 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"";"";"mm";"Molex";"52271-1079";"";"538-52271-1079";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-52271-1079";"";"";"";"";"";"5144329P";"http://uk.rs-online.com/web/p/products/5144329P";"";"";"";
"PAD1";"";"SMD5";"SMD2,54-5,08";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PAD2";"";"SMD5";"SMD2,54-5,08";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PAD9";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PRGM";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"33";"R-EU_MELF0207W";"MINI_MELF-0207W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"33";"R-EU_MELF0207W";"MINI_MELF-0207W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"470";"R-EU_MELF0207W";"MINI_MELF-0207W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"100k";"R-EU_MELF0207W";"MINI_MELF-0207W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"4.7k";"R-EU_MELF0207W";"MINI_MELF-0207W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"4.7k";"R-EU_MELF0207W";"MINI_MELF-0207W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RESET";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RX1";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S1";"";"RS-187R05A2-DSMTRT";"RS-187R05A2-DSMTRT";"Tactile Switch SPST-NO Top Actuated Surface Mount,";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SCL0";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SDA0";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SV2";"";"FE05-1";"FE05-1";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"TP1";"TP5P5-25-13";"TP5P5-25-13";"P5-25-13";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TX1";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"MICRO-USB";"MICRO-USB";"MICRO-USB";"Micro USB B connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"LP38691DT-3.3/NOPB";"LP38691DT-3.3/NOPB";"TD03B";"";"";"";"";"";"";"";"";"LP38691DT3.3NOPB";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"U2";"TPD3S014DBVR";"TPD3S014DBVR";"DBV6";"";"";"";"";"";"";"";"";"TPD3S014DBVR";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
