"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"5V";"";"3,17/1,3";"3,17/1,3";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";
"C1";"0.1 uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"Kemet";"C1808C104K5RACTU";"80-C1808C104K5R
";"";"";"";"C";
"C2";"0.1 uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"Kemet";"C1808C104K5RACTU";"80-C1808C104K5R
";"";"";"";"C";
"C3";"0.1 uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"Kemet";"C1808C104K5RACTU";"80-C1808C104K5R
";"";"";"";"C";
"C4";"0.1 uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"Kemet";"C1808C104K5RACTU";"80-C1808C104K5R
";"";"";"";"C";
"C5";"0.1 uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"Kemet";"C1808C104K5RACTU";"80-C1808C104K5R";"";"";"";"C";
"C6";"0.1 uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"Kemet";"C1808C104K5RACTU";"80-C1808C104K5R
";"";"";"";"C";
"C7";"0.1 uF";"C-USC1808";"C1808";"CAPACITOR, American symbol";"";"";"";"";"Kemet";"C1808C104K5RACTU";"80-C1808C104K5R";"";"";"";"C";
"D1";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"2.2mm";"ON Semiconductor";"MRA4004T3G";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";
"D2";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"2.2mm";"ON Semiconductor";"MRA4004T3G";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";
"D3";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"2.2mm";"ON Semiconductor";"MRA4004T3G";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";
"D4";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"2.2mm";"ON Semiconductor";"MRA4004T3G";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";
"D5";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"2.2mm";"ON Semiconductor";"MRA4004T3G";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";
"D6";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"2.2mm";"ON Semiconductor";"MRA4004T3G";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";
"D7";"MRA4004T3G";"MRA4004T3G";"DIOM5226X220N";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"70340468";"http://www.alliedelec.com/on-semiconductor-mra4004t3g/70340468/";"Rectifier diode,MRA4004 1A 400V ON Semi MRA4004T3G, SMT Switching Diode, 400V 1A, 2-Pin DO-214AC";"2.2mm";"ON Semiconductor";"MRA4004T3G";"863-MRA4004T3G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-MRA4004T3G";"6490904";"http://uk.rs-online.com/web/p/products/6490904";"";
"GND";"";"3,17/1,3";"3,17/1,3";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";
"J1";"52271-1079";"52271-1079";"52271-1079";"1.0MM FPC  R/A CONN 10 W Molex FFC/FPC SMT Series 1mm Pitch 10 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"70373119";"https://www.alliedelec.com/molex-incorporated-52271-1079/70373119/";"1.0MM FPC  R/A CONN 10 W Molex FFC/FPC SMT Series 1mm Pitch 10 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"mm";"Molex";"52271-1079";"538-52271-1079";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-52271-1079";"5144329P";"http://uk.rs-online.com/web/p/products/5144329P";"";
"PAD1";"MOT1+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD2";"MOT1-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD3";"MOT2+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD4";"MOT2-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD5";"MOT3+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD6";"MOT3-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD7";"MOT4+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD8";"MOT4-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD9";"MOT5+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD10";"MOT5-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD11";"MOT6+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD12";"MOT6-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD13";"MOT7+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD14";"MOT7-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD15";"MOT1+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD16";"MOT1-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD17";"MOT2+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD18";"MOT2-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD19";"MOT3+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD20";"MOT3-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD21";"MOT4+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD22";"MOT4-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD23";"MOT5+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD24";"MOT5-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD25";"MOT6+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD26";"MOT6-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD27";"MOT7+";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD28";"MOT7-";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"NX7002AKVL";"NX7002AKVL";"SOT95P230X110-3N";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"";"";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"1.1mm";"Nexperia";"NX7002AKVL";"771-NX7002AKVL";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-NX7002AKVL";"";"";"";
"Q2";"NX7002AKVL";"NX7002AKVL";"SOT95P230X110-3N";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"";"";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"1.1mm";"Nexperia";"NX7002AKVL";"771-NX7002AKVL";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-NX7002AKVL";"";"";"";
"Q3";"NX7002AKVL";"NX7002AKVL";"SOT95P230X110-3N";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"";"";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"1.1mm";"Nexperia";"NX7002AKVL";"771-NX7002AKVL";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-NX7002AKVL";"";"";"";
"Q4";"NX7002AKVL";"NX7002AKVL";"SOT95P230X110-3N";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"";"";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"1.1mm";"Nexperia";"NX7002AKVL";"771-NX7002AKVL";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-NX7002AKVL";"";"";"";
"Q5";"NX7002AKVL";"NX7002AKVL";"SOT95P230X110-3N";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"";"";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"1.1mm";"Nexperia";"NX7002AKVL";"771-NX7002AKVL";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-NX7002AKVL";"";"";"";
"Q6";"NX7002AKVL";"NX7002AKVL";"SOT95P230X110-3N";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"";"";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"1.1mm";"Nexperia";"NX7002AKVL";"771-NX7002AKVL";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-NX7002AKVL";"";"";"";
"Q7";"NX7002AKVL";"NX7002AKVL";"SOT95P230X110-3N";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"";"";"Trans MOSFET N-CH 60V 0.19A 3-Pin TO-236AB";"1.1mm";"Nexperia";"NX7002AKVL";"771-NX7002AKVL";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-NX7002AKVL";"";"";"";
"R1";"1k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"Bourns";"CR1206-FX-1001ELF";"652-CR1206FX-1001ELF";"";"";"";"R";
